Organisation Name,Purchase Order Number,Order Date,Total Value,Supplier Name,Account Name,Service
Rochdale Borough Council,d1087527,30/06/2020,"£8,875.00",M N PROPERTY CONSULTANTS,RENTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003768,30/06/2020,"£54,065.77",C E S LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d3003772,30/06/2020,"£10,000.00",ELECTRIC CENTER,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3003778,30/06/2020,"£15,800.00",OPS ENVIRONMENTAL SERVICES,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,x1020426,30/06/2020,"£6,006.00",HOST,YOUNG PEOPLES RENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1087510,29/06/2020,"£27,000.00",STANDARD FUEL OILS,TRANSACTIONS-EXPENDITURE,CONTROL ACCOUNT
Rochdale Borough Council,d2002490,29/06/2020,"£437,988.00",VIRGIN MEDIA BUSINESS,ENGINEERS FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1030487,29/06/2020,"£30,643.91",INSPIREDSPACES ROCHDALE LTD,NEW CONSTRUCTION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph104403,29/06/2020,"£8,395.00",NHS OLDHAM CCG,PROFESSIONAL FEES,PUBLIC HEALTH
Rochdale Borough Council,d1087504,26/06/2020,"£16,685.79",OMC FORD OLDHAM,PURCHASE OF VEHICLES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003759,26/06/2020,"£5,100.00",EAST LANCASHIRE SERVICES LIMITED,CLEANING AND DOMESTIC SUPPLIES,ECONOMY DIRECTORATE
Rochdale Borough Council,d3003760,26/06/2020,"£8,881.38",FW SHERRATT LTD,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,r1002696,26/06/2020,"£38,527.38",P CASEY AND CO LTD,MINOR BUILDING WORKS,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002697,26/06/2020,"£16,679.69",P CASEY AND CO LTD,MINOR BUILDING WORKS,ECONOMY DIRECTORATE
Rochdale Borough Council,s1026000,26/06/2020,"£10,000.00",S MUSTAFA LIMITED,EXPENSES - GENERAL,COMMISSIONING AND STATUTORY
Rochdale Borough Council,w1002103,26/06/2020,"£8,535.75",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,HOME CARE - ADULT SERVICES,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,w1002104,26/06/2020,"£11,331.27",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,AGENCY STAFF,COMMISSIONING AND STATUTORY
Rochdale Borough Council,d3003757,25/06/2020,"£9,541.97",CANAL AND RIVER TRUST,SUPPLIES AND SERVICES PROVISION,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3003758,25/06/2020,"£9,500.00",FISHERS CLEANING SERVICES LIMITED,CLEANING AND DOMESTIC SUPPLIES,ECONOMY DIRECTORATE
Rochdale Borough Council,f1009030,25/06/2020,"£7,653.78",HSBC MERCHANT SERVICES,BANK CHARGES,RESOURCES
Rochdale Borough Council,f1009032,25/06/2020,"£151,000.00",MHR,PURCHASE OF ICT SOFTWARE,RESOURCES
