Organisation Name,Purchase Order Number,Order Date,Total Value,Supplier Name,Account Name,Service
Rochdale Borough Council,d1086609,31/03/2020,"£5,400.00",GROUNDWORK LANDSCAPES LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003467,31/03/2020,"£12,600.00",HBP STRUCTURAL CONSULTANTS LTD,MINOR BUILDING WORKS,ECONOMY DIRECTORATE
Rochdale Borough Council,e1030133,31/03/2020,"£33,599.97",POSITIVE STEPS,EXTERNALLY MANAGED FUNDS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030134,31/03/2020,"£975,000.00",INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030135,31/03/2020,"£950,000.00",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1008881,31/03/2020,"£6,384.79",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,f1008882,31/03/2020,"£13,923.39",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,f1008883,31/03/2020,"£44,512.07",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,f1008885,31/03/2020,"£6,384.79",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,f1008886,31/03/2020,"£13,923.39",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,f1008887,31/03/2020,"£44,512.07",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,r1002576,31/03/2020,"£69,333.90",P CASEY AND CO LTD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002577,31/03/2020,"£24,524.55",P CASEY AND CO LTD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002581,31/03/2020,"£6,300.43",ROCHDALE DEVELOPMENT AGENCY,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,s1025853,31/03/2020,"£6,890.00",K P DODD CONSTRUCTION LIMITED,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025854,31/03/2020,"£5,459.78",UPS BUILDING AND MAINTENANCE LTD,TRANSACTIONS-EXPENDITURE,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1019917,31/03/2020,"£9,000.00",REAL TRUST,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1086595,30/03/2020,"£7,000.00",REDACTED - PERSONAL DATA,OTHER POST MORTEMS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1086589,30/03/2020,"£18,700.00",JAMIE EDWARD ROBINSON,OTHER POST MORTEMS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1086590,30/03/2020,"£9,500.00",APC PATHOLOGY LTD,OTHER MEDICAL EXPENSES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1086591,30/03/2020,"£12,500.00",OEADS LIMITED,OTHER MEDICAL EXPENSES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1086592,30/03/2020,"£10,400.00",MANCHESTER UNIVERSITY NHS FOUNDATION TRUST MFT,CHILDRENS POST MORTEMS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1086593,30/03/2020,"£10,600.00",KBP SERVICES LIMITED,MEDICAL FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1086594,30/03/2020,"£9,600.00",HIGH PEAK FORENSICS LTD,OTHER POST MORTEMS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1086597,30/03/2020,"£5,355.00",JGM AGENCY,PUBLICITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003459,30/03/2020,"£26,609.21",FW SHERRATT LTD,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,ph104259,30/03/2020,"£15,089.04",BIG LIFE CENTRES,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,ph104260,30/03/2020,"£5,546.88",BIG LIFE CENTRES,PROFESSIONAL FEES,PUBLIC HEALTH
Rochdale Borough Council,ph104261,30/03/2020,"£5,000.00",SALFORD CITY COUNCIL,AGMA,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph104262,30/03/2020,"£5,000.00",KENYON BLOCK CONSULTANTS LTD,AGENCY STAFF,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph104263,30/03/2020,"£5,000.00",KENYON BLOCK CONSULTANTS LTD,CONTRACTED SERVICES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph104264,30/03/2020,"£5,000.00",KENYON BLOCK CONSULTANTS LTD,AGENCY STAFF,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph104265,30/03/2020,"£5,000.00",KENYON BLOCK CONSULTANTS LTD,CONTRACTED SERVICES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1025850,30/03/2020,"£15,500.00",PETRUS COMMUNITY,SERVICE LEVEL AGREEMENTS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025851,30/03/2020,"£23,270.00",IMOSPHERE LIMITED,IT MAINTENANCE,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,w1002079,30/03/2020,"£5,763.71",ALTERNATIVE FUTURES GROUP LTD,SOCIAL SERVICES OTHER,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,w1002076,28/03/2020,"£5,974.76",ALTERNATIVE FUTURES GROUP LTD,SOCIAL SERVICES OTHER,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,w1002077,28/03/2020,"£5,959.03",ALTERNATIVE FUTURES GROUP LTD,SOCIAL SERVICES OTHER,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,w1002078,28/03/2020,"£5,765.31",ALTERNATIVE FUTURES GROUP LTD,SOCIAL SERVICES OTHER,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d2002290,27/03/2020,"£5,000.00",SOCITM LTD,CONSULTANT FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2002291,27/03/2020,"£21,094.08",IDOX SOFTWARE LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003451,27/03/2020,"£30,000.00",REACH PUBLISHING SERVICES LTD,ADVERTISING,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3003456,27/03/2020,"£70,200.00",UNITY PARTNERSHIP LTD,CONSULTANT FEES,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d4002685,27/03/2020,"£21,250.00",EXCLUSEC,SECURITY,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,ph104256,27/03/2020,"£5,075.00",FOOD SAFETY SOLUTIONS LTD,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1086551,26/03/2020,"£122,300.00",FORENSICS LTD,WITNESSES EXPENSES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1086557,26/03/2020,"£63,300.00",REDACTED - PERSONAL DATA,MEDICAL FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1086558,26/03/2020,"£26,500.00",REDACTED - PERSONAL DATA,MEDICAL FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1086559,26/03/2020,"£44,900.00",REDACTED - PERSONAL DATA,MEDICAL FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1086570,26/03/2020,"£60,500.00",REDACTED - PERSONAL DATA,MEDICAL FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1086545,26/03/2020,"£8,691.94",ROCHDALE TOWN CENTRE MANAGEMENT LTD,GRANTS TO THE NON VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,d1086553,26/03/2020,"£133,000.00",BATE AND HOLLAND FUNERAL SERVICES LTD,UNDERTAKERS COSTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1086554,26/03/2020,"£7,000.00",RALPH LIVESEY,PROVISIONS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1086565,26/03/2020,"£280,000.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,MORTUARY CHARGES,NEIGHBOURHOODS AND ENVIRONMENT
