Organisation Name,Purchase Order Number,Order Date,Total Value,Supplier Name,Account Name,Service
Rochdale Borough Council,d1088426,30/09/2020,"£53,730.00",QUALITY BROADFIELD PARK HOTEL,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088428,30/09/2020,"£23,306.00",HENDHAM HOTEL LTD,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088429,30/09/2020,"£8,000.00",DICK WHITTINGTON GUEST HOUSE,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088431,30/09/2020,"£24,000.00",G AND A TAYLOR HOTELS LTD,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088432,30/09/2020,"£60,646.91",WILSON BOWDEN DEVELOPMENTS LTD,NEW CONSTRUCTION,ECONOMY DIRECTORATE
Rochdale Borough Council,d3004135,30/09/2020,"£5,000.00",PARR ROCHDALE LIMITED,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3004136,30/09/2020,"£23,234.40",D AND M WINDOWS AND DOORS LTD,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1009147,30/09/2020,"£17,545.00",GATENBY SANDERSON,RECRUITMENT AGENCY FEES,RESOURCES
Rochdale Borough Council,f1009149,30/09/2020,"£105,007.00",MAZARS LLP,FEES / COMMISSION,RESOURCES
Rochdale Borough Council,d1088419,29/09/2020,"£18,400.00",COACH OPTIONS LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3004125,29/09/2020,"£7,127.00",LINK4LIFE CHARITY,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3004126,29/09/2020,"£786,466.23",BALFOUR BEATTY LIVING PLACES,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1030777,29/09/2020,"£10,716.00",LINK4LIFE TRADING,YOUTH & COMMUNITY - BASIC,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1026225,29/09/2020,"£5,383.45",UPS BUILDING AND MAINTENANCE LTD,TRANSACTIONS-EXPENDITURE,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1020787,29/09/2020,"£33,150.00",CFS CARE LTD,YOUNG PEOPLES RENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1020788,29/09/2020,"£32,600.00",CFS CARE LTD,YOUNG PEOPLES RENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1020789,29/09/2020,"£21,500.00",STEPPING STONE PROJECTS,YOUNG PEOPLES RENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1088414,28/09/2020,"£10,850.00",RYEDALE PRINTING WORKS LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2002631,28/09/2020,"£5,195.00",CC2I LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3004120,28/09/2020,"£6,405.62",PERMICOAT LTD,ENVIRONMENTAL WORKS LANDSCAPE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3004121,28/09/2020,"£201,730.94",TRANSPORT FOR GREATER MANCHESTER,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3004122,28/09/2020,"£282,042.00",GMCA,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1030773,28/09/2020,"£12,441.00",HORIZON CARE AND EDUCATION,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030774,28/09/2020,"£12,155.00",HORIZON CARE AND EDUCATION,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,l1003641,28/09/2020,"£8,075.82",ALPHATECH PRINT AND DATA SERVICES LTD,PRINTING & STATIONERY,RESOURCES
Rochdale Borough Council,d1088392,25/09/2020,"£5,000.00",CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088396,25/09/2020,"£53,872.00",CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2002628,25/09/2020,"£15,140.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d4003216,25/09/2020,"£13,980.00",ELYGRA,CONSUMABLES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1030768,25/09/2020,"£46,185.55",BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030769,25/09/2020,"£44,547.96",BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030770,25/09/2020,"£5,673.25",AXCIS EDUCATION RECRUITMENT,AGENCY STAFF,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1009144,25/09/2020,"£11,475.16",HSBC MERCHANT SERVICES,BANK CHARGES,RESOURCES
Rochdale Borough Council,s1026221,25/09/2020,"£5,790.00",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d2002622,24/09/2020,"£7,771.00",XMA LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3004109,24/09/2020,"£6,096.00",METDESK LTD,MAINTENANCE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3004110,24/09/2020,"£52,171.74",H BELL AND SONS ROCHDALE LTD,MINOR BUILDING WORKS,ECONOMY DIRECTORATE
Rochdale Borough Council,d3004114,24/09/2020,"£37,152.00",WATERMAN INFASTRUCTURE AND ENVIRONMENT LTD,ENGINEERS FEES,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3004116,24/09/2020,"£8,203.00",ABM LANCASHIRE LIMITED,PROPERTY - WORKS ELEMENT,PUBLIC HEALTH
Rochdale Borough Council,d3004117,24/09/2020,"£9,500.00",G2 RECRUITMENT SOLUTIONS LTD,AGENCY STAFF,ECONOMY DIRECTORATE
Rochdale Borough Council,e1030756,24/09/2020,"£20,000.00",PARADIGM PROFESSIONAL CONSULTANCY LTD,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,e1030759,24/09/2020,"£20,000.00",PARADIGM PROFESSIONAL CONSULTANCY LTD,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,e1030761,24/09/2020,"£8,820.00",BOLTON IMPACT TRUST,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030763,24/09/2020,"£21,309.00",CAMBIAN CHILDCARE LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030764,24/09/2020,"£13,118.01",NORTH CHADDERTON SCHOOL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1026203,24/09/2020,"£5,372.00",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1026205,24/09/2020,"£5,816.00",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1026206,24/09/2020,"£5,134.97",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1026209,24/09/2020,"£9,602.36",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1026215,24/09/2020,"£5,460.77",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1026218,24/09/2020,"£8,152.01",UPS BUILDING AND MAINTENANCE LTD,TRANSACTIONS-EXPENDITURE,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1020773,24/09/2020,"£7,062.00",NOMS AGENCY,SERVICE LEVEL AGREEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1020776,24/09/2020,"£5,000.00",RANDSTAD EDUCATION,INDEPENDENT UNITS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1088354,23/09/2020,"£7,500.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088356,23/09/2020,"£11,000.00",ROCHDALE TOWN TAXIS LTD,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088357,23/09/2020,"£8,100.00",ROCHDALE TOWN TAXIS LTD,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088360,23/09/2020,"£7,000.00",ROCHDALE TOWN TAXIS LTD,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088361,23/09/2020,"£8,600.00",ROCHDALE TOWN TAXIS LTD,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088364,23/09/2020,"£6,800.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088366,23/09/2020,"£6,100.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088368,23/09/2020,"£6,500.00",MIDDLETON CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088373,23/09/2020,"£50,000.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088353,23/09/2020,"£10,250.00",EURO LABEL PRINTERS LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088377,23/09/2020,"£15,333.00",WSP LTD UK,ACTIVITIES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1088378,23/09/2020,"£11,960.00",CLOVER SECURITY SERVICES LIMITED,SECURITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088379,23/09/2020,"£10,100.00",RUSHTONS DEVELOPMENTS LTD,PROPERTY REFURBISHMENT (HOUSING),NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3004104,23/09/2020,"£483,773.84",GMCA,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3004108,23/09/2020,"£43,455.00",GROUNDWORK LANDSCAPES LIMITED,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1009132,23/09/2020,"£46,356.00",CHILDCARE VOUCHERS LIMITED,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,f1009133,23/09/2020,"£39,270.75",CHILDCARE VOUCHERS LIMITED,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,r1002860,23/09/2020,"£24,857.00",WSP LTD UK,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002863,23/09/2020,"£19,564.00",WSP LTD UK,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002864,23/09/2020,"£24,857.00",WSP LTD UK,CONSULTANT FEES,ECONOMY DIRECTORATE
